,Run,Project,Patient_Cohort,Species,Celltype,Kit,Number of Donors,Library_type,aggr.CD45pCD3p
Batch5_library2_6donors_CITE,NV099,AdUp07,Cohort2,Hu,CD8,5v2,6D,CITE,
Batch5_library3_6donors_CITE,NV099,AdUp07,Cohort2,Hu,CD4,5v2,6D,CITE,
Batch5_library4_6donors_CITE,NV099,AdUp07,Cohort2,Hu,CD4,5v2,6D,CITE,
NSCLC_batch1_library1_CD4_5donors_CITE,NV051,R24G,,Hu,CD4,5v2,5D,CITE,
NSCLC_batch1_library1_CD4_5donors_Gex,NV051,R24G,,Hu,CD4,5v2,5D,Gex,1
NSCLC_batch1_library1_CD4_5donors_TCR,NV051,R24G,,Hu,CD4,5v2,5D,TCR,
NSCLC_batch1_library2A_CD8_5donors_CITE,NV055_NV051,R24G,,Hu,CD8,5v2,5D,CITE,
NSCLC_batch1_library2A_CD8_5donors_Gex,NV055_NV051,R24G,,Hu,CD8,5v2,5D,Gex,1
NSCLC_batch1_library2A_CD8_5donors_TCR,NV055_NV051,R24G,,Hu,CD8,5v2,5D,TCR,
NSCLC_batch1_library2B_CD8_5donors_CITE,NV051,R24G,,Hu,CD8,5v2,5D,CITE,
NSCLC_batch1_library2B_CD8_5donors_Gex,NV051,R24G,,Hu,CD8,5v2,5D,Gex,1
NSCLC_batch1_library2B_CD8_5donors_TCR,NV051,R24G,,Hu,CD8,5v2,5D,TCR,
NSCLC_batch1_library3_CD4_5donors_CITE,NV055_NV051,R24G,,Hu,CD4,5v2,5D,CITE,
NSCLC_batch1_library3_CD4_5donors_Gex,NV055_NV051,R24G,,Hu,CD4,5v2,5D,Gex,1
NSCLC_batch1_library3_CD4_5donors_TCR,NV055_NV051,R24G,,Hu,CD4,5v2,5D,TCR,
NSCLC_batch1_library4A_CD8_5donors_CITE,NV055_NV051,R24G,,Hu,CD8,5v2,5D,CITE,
NSCLC_batch1_library4A_CD8_5donors_Gex,NV055_NV051,R24G,,Hu,CD8,5v2,5D,Gex,1
NSCLC_batch1_library4A_CD8_5donors_TCR,NV055_NV051,R24G,,Hu,CD8,5v2,5D,TCR,
NSCLC_batch1_library4B_CD8_5donors_CITE,NV055_NV051,R24G,,Hu,CD8,5v2,4D,CITE,
NSCLC_batch1_library4B_CD8_5donors_Gex,NV055_NV051,R24G,,Hu,CD8,5v2,4D,Gex,1
NSCLC_batch1_library4B_CD8_5donors_TCR,NV055_NV051,R24G,,Hu,CD8,5v2,4D,TCR,
